INDCLIM,INDSINOP,NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTITUD
1135C;;BÁRCENA MAYOR-TORIZ;CANTABRIA;43 08 55 N;04 12 46 W;455
1154H;;TORRELAVEGA-SIERRAPANDO;CANTABRIA;43 21 02 N;04 01 59 W;100
1159;08017;SAN VICENTE, FARO;CANTABRIA;43 23 40 N;04 23 27 W;39
1167B;;FUENTE DÉ-TELEFÉRICO;CANTABRIA;43 08 44 N;04 48 41 W;1090
1174I;;TAMA;CANTABRIA;43 11 02 N;04 36 02 W;250
1176A;;TRESVISO;CANTABRIA;43 15 20 N;04 40 08 W;912
1740;;ALTAMIRA;CANTABRIA;43 22 44 N;04 07 23 W;150
9001D;08032;NESTARES;CANTABRIA;42 59 38 N;04 09 34 W;875
9016X;;CUBILLO DE EBRO;CANTABRIA;42 48 32 N;04 01 56 W;765
9019B;08033;POLIENTES-CASYC;CANTABRIA;42 48 18 N;03 55 12 W;720
8439X;;SEGORBE, MASIA HOYA;CASTELLÓN;39 47 48 N;00 29 21 W;460
8472A;;ARENOS-PANTANO;CASTELLÓN;40 05 19 N;00 32 44 W;601
8489X;08241;VILLAFRANCA;CASTELLÓN;40 26 06 N;00 15 18 W;1130
8492X;;ATZENETA DEL MAESTRAT;CASTELLÓN;40 13 42 N;00 10 07 W;420
8500A;08286;CASTELLÓN;CASTELLÓN;39 57 00 N;00 04 17 W;35
8503Y;;TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL);CASTELLÓN;40 12 45 N;00 12 05 E;16
8520X;;FREDES;CASTELLÓN;40 41 44 N;00 09 56 E;1174
8523X;08239;VINAROZ;CASTELLÓN;40 33 34 N;00 25 50 E;110
9563X;08237;CASTELLFORT;CASTELLÓN;40 30 15 N;00 11 20 W;1181
5000C;60320;CEUTA;CEUTA;35 53 24 N;05 20 45 W;87
4064Y;;ALCAZAR DE SAN JUAN;CIUDAD REAL;39 23 33 N;03 12 52 W;664
4103X;08276;TOMELLOSO;CIUDAD REAL;39 09 04 N;03 00 37 W;662
4121;08348;CIUDAD REAL;CIUDAD REAL;38 59 22 N;03 55 11 W;628
4138Y;;VILLANUEVA DE LOS INFANTES;CIUDAD REAL;38 44 21 N;03 00 11 W;870
4147X;08351;VALDEPEÑAS;CIUDAD REAL;38 46 15 N;03 23 35 W;700
4148;08345;VISO DEL MARQUÉS;CIUDAD REAL;38 31 06 N;03 33 45 W;778
4210Y;;ABENOJAR ;CIUDAD REAL;38 53 53 N;04 17 31 W;718
4220X;08271;PUEBLA DE DON RODRIGO;CIUDAD REAL;39 05 19 N;04 36 59 W;485
4300Y;;MINAS DE ALMADÉN;CIUDAD REAL;38 46 37 N;04 50 38 W;535
5304Y;;PUERTOLLANO;CIUDAD REAL;38 40 14 N;04 03 29 W;700
5341C;;FUENCALIENTE;CIUDAD REAL;38 25 50 N;04 18 01 W;640
4263X;;VALSEQUILLO;CÓRDOBA;38 24 38 N;05 20 57 W;575
4267X;08335;HINOJOSA DEL DUQUE;CÓRDOBA;38 30 00 N;05 07 45 W;540
5346X;;CARDEÑA, SANTA ELENA ;CÓRDOBA;38 11 12 N;04 16 17 W;720
5361X;;MONTORO,VEGA ARMIJO;CÓRDOBA;38 00 51 N;04 19 44 W;155
5390Y;08346;VILLANUEVA DE CÓRDOBA;CÓRDOBA;38 19 50 N;04 36 57 W;740
5394X;;CORDOBA , EMACSA;CÓRDOBA;38 01 18 N;04 47 43 W;525
5402;08410;CÓRDOBA/AEROPUERTO;CÓRDOBA;37 50 39 N;04 50 46 W;90
5412X;;PRIEGO DE CÓRDOBA, SAN FELIX;CÓRDOBA;37 29 18 N;04 12 14 W;520
5427X;08412;DOÑA MENCIA;CÓRDOBA;37 33 28 N;04 21 15 W;650
5459X;;ESPIEL-C.TÉRMICA;CÓRDOBA;38 06 43 N;04 55 37 W;465
5470;;FUENTE PALMERA-LOS ARROYONES;CÓRDOBA;37 45 16 N;05 05 57 W;120
5598X;;BENAMEJÍ-ALCACHOFARES ALTOS;CÓRDOBA;37 13 58 N;04 32 47 W;465
5624X;;AGUILAR, LAGUNA ZOÑAR;CÓRDOBA;37 28 49 N;04 41 57 W;305
5625X;;LA RAMBLA, PRIVILEGIO;CÓRDOBA;37 38 22 N;04 45 45 W;200
